DiscardTypeID,DiscardDestinationID,Year,DiscardDestinationRatio
0,0,1991,0.16
0,0,1992,0.16
0,0,1993,0.16
0,0,1994,0.16
0,0,1995,0.16
0,0,1996,0.16
0,0,1997,0.16
0,0,1998,0.16
0,0,1999,0.16
0,0,2000,0.15
0,0,2001,0.15
0,0,2002,0.14
0,0,2003,0.14
0,0,2004,0.14
0,0,2005,0.14
0,0,2006,0.14
0,0,2007,0.14
0,0,2008,0.14
0,0,2009,0.14
0,1,1906,0
0,1,1907,0
0,1,1908,0
0,1,1909,0
0,1,1910,0
0,1,1911,0
0,1,1912,0
0,1,1913,0
0,1,1914,0
0,1,1915,0
0,1,1916,0
0,1,1917,0
0,1,1918,0
0,1,1919,0
0,1,1920,0
0,1,1921,0
0,1,1922,0
0,1,1923,0
0,1,1924,0
0,1,1925,0
0,1,1926,0
0,1,1927,0
0,1,1928,0
0,1,1929,0
0,1,1930,0
0,1,1931,0
0,1,1932,0
0,1,1933,0
0,1,1934,0
0,1,1935,0
0,1,1936,0
0,1,1937,0
0,1,1938,0
0,1,1939,0
0,1,1940,0
0,1,1941,0
0,1,1942,0
0,1,1943,0
0,1,1944,0
0,1,1945,0
0,1,1946,0
0,1,1947,0
0,1,1948,0
0,1,1949,0
0,1,1950,0
0,1,1951,0
0,1,1952,0
0,1,1953,0
0,1,1954,0
0,1,1955,0
0,1,1956,0
0,1,1957,0
0,1,1958,0
0,1,1959,0
0,1,1960,0.17
0,1,1961,0.17
0,1,1962,0.17
0,1,1963,0.17
0,1,1964,0.17
0,1,1965,0.17
0,1,1966,0.17
0,1,1967,0.17
0,1,1968,0.17
0,1,1969,0.17
0,1,1970,0.15
0,1,1971,0.15
0,1,1972,0.15
0,1,1973,0.15
0,1,1974,0.15
0,1,1975,0.15
0,1,1976,0.15
0,1,1977,0.15
0,1,1978,0.15
0,1,1979,0.15
0,1,1980,0.21
0,1,1981,0.21
0,1,1982,0.21
0,1,1983,0.21
0,1,1984,0.21
0,1,1985,0.21
0,1,1986,0.21
0,1,1987,0.21
0,1,1988,0.21
0,1,1989,0.21
0,1,1990,0.28
0,1,1991,0.28
0,1,1992,0.28
0,1,1993,0.28
0,1,1994,0.28
0,1,1995,0.28
0,1,1996,0.28
0,1,1997,0.28
0,1,1998,0.28
0,1,1999,0.28
0,1,2000,0.42
0,1,2001,0.46
0,1,2002,0.46
0,1,2003,0.48
0,1,2004,0.49
0,1,2005,0.5
0,1,2006,0.5
0,1,2007,0.5
0,1,2008,0.5
0,1,2009,0.5
0,2,1906,0
0,2,1907,0
0,2,1908,0
0,2,1909,0
0,2,1910,0
0,2,1911,0
0,2,1912,0
0,2,1913,0
0,2,1914,0
0,2,1915,0
0,2,1916,0
0,2,1917,0
0,2,1918,0
0,2,1919,0
0,2,1920,0
0,2,1921,0
0,2,1922,0
0,2,1923,0
0,2,1924,0
0,2,1925,0
0,2,1926,0
0,2,1927,0
0,2,1928,0
0,2,1929,0
0,2,1930,0
0,2,1931,0
0,2,1932,0
0,2,1933,0
0,2,1934,0
0,2,1935,0
0,2,1936,0
0,2,1937,0
0,2,1938,0
0,2,1939,0
0,2,1940,0
0,2,1941,0
0,2,1942,0
0,2,1943,0
0,2,1944,0
0,2,1945,0
0,2,1946,0
0,2,1947,0
0,2,1948,0
0,2,1949,0
0,2,1950,0
0,2,1951,0
0,2,1952,0
0,2,1953,0
0,2,1954,0
0,2,1955,0
0,2,1956,0
0,2,1957,0
0,2,1958,0
0,2,1959,0
0,2,1960,0
0,2,1961,0
0,2,1962,0
0,2,1963,0
0,2,1964,0
0,2,1965,0
0,2,1966,0
0,2,1967,0
0,2,1968,0
0,2,1969,0
0,2,1970,0
0,2,1971,0
0,2,1972,0
0,2,1973,0
0,2,1974,0
0,2,1975,0
0,2,1976,0
0,2,1977,0
0,2,1978,0
0,2,1979,0
0,2,1980,0
0,2,1981,0
0,2,1982,0
0,2,1983,0
0,2,1984,0
0,2,1985,0
0,2,1986,0
0,2,1987,0
0,2,1988,0
0,2,1989,0
0,2,1990,0.02
0,2,1991,0.02
0,2,1992,0.02
0,2,1993,0.02
0,2,1994,0.02
0,2,1995,0.02
0,2,1996,0.02
0,2,1997,0.02
0,2,1998,0.02
0,2,1999,0.02
0,2,2000,0.05
0,2,2001,0.05
0,2,2002,0.05
0,2,2003,0.05
0,2,2004,0.05
0,2,2005,0.05
0,2,2006,0.05
0,2,2007,0.05
0,2,2008,0.05
0,2,2009,0.05
0,3,1906,0
0,3,1907,0
0,3,1908,0
0,3,1909,0
0,3,1910,0
0,3,1911,0
0,3,1912,0
0,3,1913,0
0,3,1914,0
0,3,1915,0
0,3,1916,0
0,3,1917,0
0,3,1918,0
0,3,1919,0
0,3,1920,0
0,3,1921,0
0,3,1922,0
0,3,1923,0
0,3,1924,0
0,3,1925,0
0,3,1926,0
0,3,1927,0
0,3,1928,0
0,3,1929,0
0,3,1930,0
0,3,1931,0
0,3,1932,0
0,3,1933,0
0,3,1934,0
0,3,1935,0
0,3,1936,0
0,3,1937,0
0,3,1938,0
0,3,1939,0
0,3,1940,0.03
0,3,1941,0.03
0,3,1942,0.03
0,3,1943,0.03
0,3,1944,0.03
0,3,1945,0.03
0,3,1946,0.03
0,3,1947,0.03
0,3,1948,0.03
0,3,1949,0.03
0,3,1950,0.07
0,3,1951,0.07
0,3,1952,0.07
0,3,1953,0.07
0,3,1954,0.07
0,3,1955,0.07
0,3,1956,0.07
0,3,1957,0.07
0,3,1958,0.07
0,3,1959,0.07
0,3,1960,0.09
0,3,1961,0.09
0,3,1962,0.09
0,3,1963,0.09
0,3,1964,0.09
0,3,1965,0.09
0,3,1966,0.09
0,3,1967,0.09
0,3,1968,0.09
0,3,1969,0.09
0,3,1970,0.21
0,3,1971,0.21
0,3,1972,0.21
0,3,1973,0.21
0,3,1974,0.21
0,3,1975,0.21
0,3,1976,0.21
0,3,1977,0.21
0,3,1978,0.21
0,3,1979,0.21
0,3,1980,0.53
0,3,1981,0.53
0,3,1982,0.53
0,3,1983,0.53
0,3,1984,0.53
0,3,1985,0.53
0,3,1986,0.53
0,3,1987,0.53
0,3,1988,0.53
0,3,1989,0.53
0,3,1990,0.53
0,3,1991,0.53
0,3,1992,0.53
0,3,1993,0.53
0,3,1994,0.53
0,3,1995,0.53
0,3,1996,0.53
0,3,1997,0.53
0,3,1998,0.53
0,3,1999,0.53
0,3,2000,0.37
0,3,2001,0.33
0,3,2002,0.34
0,3,2003,0.32
0,3,2004,0.31
0,3,2005,0.3
0,3,2006,0.3
0,3,2007,0.3
0,3,2008,0.3
0,3,2009,0.3
0,4,1906,0.71
0,4,1907,0.71
0,4,1908,0.71
0,4,1909,0.71
0,4,1910,0.71
0,4,1911,0.71
0,4,1912,0.71
0,4,1913,0.71
0,4,1914,0.71
0,4,1915,0.71
0,4,1916,0.71
0,4,1917,0.71
0,4,1918,0.71
0,4,1919,0.71
0,4,1920,0.71
