ID,PrimaryProductID,Description,HalfLife,RatioGroup,DiscardTypeID,Fuel
154,24,"new housing, single family",100,14,1,0
155,24,"manufacturing, furniture",30,14,1,0
156,24,"other, n/a",12,14,1,0
157,24,"packaging and shipping, n/a",6,14,1,0
158,24,"new nonresidential, new nonres buildings",67,14,1,0
159,24,"manufacturing, other manufacturing",12,14,1,0
160,24,"new nonresidential, other",67,14,1,0
161,24,"residential r and r, n/a",30,14,1,0
162,24,"new housing, multifamily",70,14,1,0
163,24,"rail and railcar, n/a",12,14,1,0
164,24,"new housing, manufactured housing",12,14,1,0
165,25,"manufacturing, furniture",30,15,1,0
166,25,"manufacturing, other manufacturing",12,15,1,0
167,25,"new nonresidential, other",67,15,1,0
168,25,"new housing, single family",100,15,1,0
169,25,"new housing, multifamily",70,15,1,0
170,25,"new housing, manufactured housing",12,15,1,0
171,25,"residential r and r, n/a",30,15,1,0
172,25,"rail and railcar, n/a",12,15,1,0
173,25,"packaging and shipping, n/a",6,15,1,0
174,25,"other, n/a",12,15,1,0
175,25,"new nonresidential, new nonres buildings",67,15,1,0
176,26,other industrial products,12,0,1,0
177,27,"rail and railcar, n/a",12,16,1,0
178,27,"new nonresidential, other",67,16,1,0
179,27,"other, n/a",12,16,1,0
180,27,"manufacturing, other manufacturing",12,16,1,0
181,27,"new nonresidential, new nonres buildings",67,16,1,0
182,27,"packaging and shipping, n/a",6,16,1,0
183,27,"new housing, manufactured housing",12,16,1,0
184,27,"new housing, multifamily",70,16,1,0
185,27,"new housing, single family",100,16,1,0
186,27,"manufacturing, furniture",30,16,1,0
187,27,"residential r and r, n/a",30,16,1,0
188,28,wood pulp,2.6,0,0,0
189,29,"hardwood, poles",12,0,1,0
190,30,"softwood, poles",12,0,1,0
191,31,"hardwood, pilings",12,0,1,0
192,32,"softwood, pilings",12,0,1,0
193,33,"hardwood, mine props",12,0,1,0
194,34,"softwood, mine props",12,0,1,0
195,35,"hardwood, posts",12,0,1,0
196,36,"softwood, posts",12,0,1,0
197,37,"hardwood, fuelwood",0,0,1,1
198,38,"softwood, fuelwood",0,0,1,1
199,39,"hardwood, non-sawtimber",12,0,1,0
200,40,"softwood, non-sawtimber",12,0,1,0
201,41,"hardwood, ties",12,0,1,0
202,42,"softwood, ties",12,0,1,0
203,43,"hardwood, coop bolts",12,0,1,0
204,44,"softwood, coop bolts",12,0,1,0
205,45,"hardwood, acid/dist.",12,0,1,0
206,46,"softwood, acid/dist.",12,0,1,0
207,47,"hardwood, float logs",12,0,1,0
208,48,"softwood, float logs",12,0,1,0
209,49,"hardwood, trap float",12,0,1,0
210,50,"softwood, trap float",12,0,1,0
211,51,"hardwood, misc-conv.",12,0,1,0
212,52,"softwood, misc-conv.",12,0,1,0
213,53,"hardwood, nav stores",12,0,1,0
214,54,"softwood, nav stores",12,0,1,0
215,55,"hardwood, cull logs",12,0,1,0
216,56,"softwood, cull logs",12,0,1,0
217,57,"hardwood, sm rnd wd",12,0,1,0
218,58,"softwood, sm rnd wd",12,0,1,0
219,59,"hardwood, grn bio cv",12,0,1,0
220,60,"softwood, grn bio cv",12,0,1,0
221,61,"hardwood, dry bio cv",12,0,1,0
222,62,"softwood, dry bio cv",12,0,1,0
223,63,"hardwood, sp wood pr",12,0,1,0
224,64,"softwood, sp wood pr",12,0,1,0
