,TimberProductID,EndUseID,PrimaryProductID,DiscardTypeID,DiscardDestinationID,Year,discard_remaining
250880,3.0,128.0,18.0,0,0,2018,0.0
250881,3.0,128.0,18.0,0,1,2018,0.0
250882,3.0,128.0,18.0,0,2,2018,0.0
250883,3.0,128.0,18.0,0,3,2018,0.0
250884,3.0,128.0,18.0,0,4,2018,0.0
250885,3.0,128.0,18.0,1,0,2018,0.0
250886,3.0,128.0,18.0,1,1,2018,0.0
250887,3.0,128.0,18.0,1,2,2018,0.0
250888,3.0,128.0,18.0,1,3,2018,0.0
250889,3.0,128.0,18.0,1,4,2018,0.0
250890,3.0,127.0,18.0,0,0,2018,0.0
250891,3.0,127.0,18.0,0,1,2018,0.0
250892,3.0,127.0,18.0,0,2,2018,0.0
250893,3.0,127.0,18.0,0,3,2018,0.0
250894,3.0,127.0,18.0,0,4,2018,0.0
250895,3.0,127.0,18.0,1,0,2018,0.0
250896,3.0,127.0,18.0,1,1,2018,0.0
250897,3.0,127.0,18.0,1,2,2018,0.0
250898,3.0,127.0,18.0,1,3,2018,0.0
250899,3.0,127.0,18.0,1,4,2018,0.0
250900,3.0,126.0,18.0,0,0,2018,0.0
250901,3.0,126.0,18.0,0,1,2018,0.0
250902,3.0,126.0,18.0,0,2,2018,0.0
250903,3.0,126.0,18.0,0,3,2018,0.0
250904,3.0,126.0,18.0,0,4,2018,0.0
250905,3.0,126.0,18.0,1,0,2018,0.0
250906,3.0,126.0,18.0,1,1,2018,0.0
250907,3.0,126.0,18.0,1,2,2018,0.0
250908,3.0,126.0,18.0,1,3,2018,0.0
250909,3.0,126.0,18.0,1,4,2018,0.0
250910,3.0,125.0,18.0,0,0,2018,0.0
250911,3.0,125.0,18.0,0,1,2018,0.0
250912,3.0,125.0,18.0,0,2,2018,0.0
250913,3.0,125.0,18.0,0,3,2018,0.0
250914,3.0,125.0,18.0,0,4,2018,0.0
250915,3.0,125.0,18.0,1,0,2018,0.0
250916,3.0,125.0,18.0,1,1,2018,0.0
250917,3.0,125.0,18.0,1,2,2018,0.0
250918,3.0,125.0,18.0,1,3,2018,0.0
250919,3.0,125.0,18.0,1,4,2018,0.0
250920,3.0,119.0,18.0,0,0,2018,0.0
250921,3.0,119.0,18.0,0,1,2018,0.0
250922,3.0,119.0,18.0,0,2,2018,0.0
250923,3.0,119.0,18.0,0,3,2018,0.0
250924,3.0,119.0,18.0,0,4,2018,0.0
250925,3.0,119.0,18.0,1,0,2018,0.0
250926,3.0,119.0,18.0,1,1,2018,0.0
250927,3.0,119.0,18.0,1,2,2018,0.0
250928,3.0,119.0,18.0,1,3,2018,0.0
250929,3.0,119.0,18.0,1,4,2018,0.0
250930,3.0,123.0,18.0,0,0,2018,0.0
250931,3.0,123.0,18.0,0,1,2018,0.0
250932,3.0,123.0,18.0,0,2,2018,0.0
250933,3.0,123.0,18.0,0,3,2018,0.0
250934,3.0,123.0,18.0,0,4,2018,0.0
250935,3.0,123.0,18.0,1,0,2018,0.0
250936,3.0,123.0,18.0,1,1,2018,0.0
250937,3.0,123.0,18.0,1,2,2018,0.0
250938,3.0,123.0,18.0,1,3,2018,0.0
250939,3.0,123.0,18.0,1,4,2018,0.0
250940,3.0,122.0,18.0,0,0,2018,0.0
250941,3.0,122.0,18.0,0,1,2018,0.0
250942,3.0,122.0,18.0,0,2,2018,0.0
250943,3.0,122.0,18.0,0,3,2018,0.0
250944,3.0,122.0,18.0,0,4,2018,0.0
250945,3.0,122.0,18.0,1,0,2018,0.0
250946,3.0,122.0,18.0,1,1,2018,0.0
250947,3.0,122.0,18.0,1,2,2018,0.0
250948,3.0,122.0,18.0,1,3,2018,0.0
250949,3.0,122.0,18.0,1,4,2018,0.0
250950,3.0,121.0,18.0,0,0,2018,0.0
250951,3.0,121.0,18.0,0,1,2018,0.0
250952,3.0,121.0,18.0,0,2,2018,0.0
250953,3.0,121.0,18.0,0,3,2018,0.0
250954,3.0,121.0,18.0,0,4,2018,0.0
250955,3.0,121.0,18.0,1,0,2018,0.0
250956,3.0,121.0,18.0,1,1,2018,0.0
250957,3.0,121.0,18.0,1,2,2018,0.0
250958,3.0,121.0,18.0,1,3,2018,0.0
250959,3.0,121.0,18.0,1,4,2018,0.0
250960,3.0,120.0,18.0,0,0,2018,0.0
250961,3.0,120.0,18.0,0,1,2018,0.0
250962,3.0,120.0,18.0,0,2,2018,0.0
250963,3.0,120.0,18.0,0,3,2018,0.0
250964,3.0,120.0,18.0,0,4,2018,0.0
250965,3.0,120.0,18.0,1,0,2018,0.0
250966,3.0,120.0,18.0,1,1,2018,0.0
250967,3.0,120.0,18.0,1,2,2018,0.0
250968,3.0,120.0,18.0,1,3,2018,0.0
250969,3.0,120.0,18.0,1,4,2018,0.0
250970,3.0,129.0,19.0,0,0,2018,0.0
250971,3.0,129.0,19.0,0,1,2018,0.0
250972,3.0,129.0,19.0,0,2,2018,0.0
250973,3.0,129.0,19.0,0,3,2018,0.0
250974,3.0,129.0,19.0,0,4,2018,0.0
250975,3.0,129.0,19.0,1,0,2018,0.0
250976,3.0,129.0,19.0,1,1,2018,0.0
250977,3.0,129.0,19.0,1,2,2018,0.0
250978,3.0,129.0,19.0,1,3,2018,0.0
250979,3.0,129.0,19.0,1,4,2018,0.0
250980,3.0,124.0,18.0,0,0,2018,0.0
250981,3.0,124.0,18.0,0,1,2018,0.0
250982,3.0,124.0,18.0,0,2,2018,0.0
250983,3.0,124.0,18.0,0,3,2018,0.0
250984,3.0,124.0,18.0,0,4,2018,0.0
250985,3.0,124.0,18.0,1,0,2018,0.0
250986,3.0,124.0,18.0,1,1,2018,0.0
250987,3.0,124.0,18.0,1,2,2018,0.0
250988,3.0,124.0,18.0,1,3,2018,0.0
250989,3.0,124.0,18.0,1,4,2018,0.0
250990,3.0,130.0,20.0,0,0,2018,0.0
250991,3.0,130.0,20.0,0,1,2018,0.0
250992,3.0,130.0,20.0,0,2,2018,0.0
250993,3.0,130.0,20.0,0,3,2018,0.0
250994,3.0,130.0,20.0,0,4,2018,0.0
250995,3.0,130.0,20.0,1,0,2018,0.0
250996,3.0,130.0,20.0,1,1,2018,0.0
250997,3.0,130.0,20.0,1,2,2018,0.0
250998,3.0,130.0,20.0,1,3,2018,0.0
250999,3.0,130.0,20.0,1,4,2018,0.0
251000,3.0,137.0,20.0,0,0,2018,0.0
251001,3.0,137.0,20.0,0,1,2018,0.0
251002,3.0,137.0,20.0,0,2,2018,0.0
251003,3.0,137.0,20.0,0,3,2018,0.0
251004,3.0,137.0,20.0,0,4,2018,0.0
251005,3.0,137.0,20.0,1,0,2018,0.0
251006,3.0,137.0,20.0,1,1,2018,0.0
251007,3.0,137.0,20.0,1,2,2018,0.0
251008,3.0,137.0,20.0,1,3,2018,0.0
251009,3.0,137.0,20.0,1,4,2018,0.0
251010,3.0,132.0,20.0,0,0,2018,0.0
251011,3.0,132.0,20.0,0,1,2018,0.0
251012,3.0,132.0,20.0,0,2,2018,0.0
251013,3.0,132.0,20.0,0,3,2018,0.0
251014,3.0,132.0,20.0,0,4,2018,0.0
251015,3.0,132.0,20.0,1,0,2018,0.0
251016,3.0,132.0,20.0,1,1,2018,0.0
251017,3.0,132.0,20.0,1,2,2018,0.0
